http://www.census.gov/hhes/www/cpstables/032011/hhinc/new06_000.htm
MedianIncome CumulativeNumber
1249 4176
7927 9231
12388 16292
17278 23552
22165 30489
27186 37219
32085 43367
37183 49274
42013 54898
47198 59831
51984 64919
57154 69122
61941 73534
67095 77113
72042 80882
77007 84000
81979 87143
87142 89823
92009 92339
97155 94449
101830 96947
107162 98725
111973 100507
117204 101987
121842 103457
127026 104700
132066 105936
137202 106994
141989 107968
146959 108751
151788 109734
157072 110405
162151 111041
167076 111582
171948 112137
177161 112609
181956 113073
187307 113408
192029 113766
197119 114056
219377 116199
398194 118682
