http://www.census.gov/hhes/www/cpstables/032011/perinc/new02_001.htm

TopIncome CumulativeNumber
2500 10551
4999 17237
7499 26608
9999 38533
12499 51519
14999 60972
17499 72368
19999 80783
22499 91659
24999 98130
27499 106878
29999 112471
32499 121775
34999 125891
37499 133185
39999 137165
42499 144750
44999 147651
47499 152820
49999 155676
52499 161994
54999 164180
57499 167635
59999 169511
62499 173730
64999 175202
67499 177690
69999 178999
72499 181790
74999 182862
77499 184924
79999 185961
82499 188023
84999 188909
87499 190184
89999 190788
92499 192254
94999 192768
97499 193542
99999 194053
149999 202864
199999 205503
249999 206540
1000000 208023
